group,instruction,PC.npc,NPC.pc,NPC.offset,NPC.br,RF.rR1,RF.rR2,RF.wR,RF.wD,SEXT.imm,ALU.A,ALU.B,MREQ.ram_addr,MREQ.ram_wdata,MEXT.din,MEXT.byte_offs
demo,addi,NPC.npc,PC.pc,-,-,IN.inst[19:15],-,IN.inst[11:7],ALU.c,IN.inst[31:20],RF.rD1,SEXT.ext,-,-,-,-
demo,ori,NPC.npc,PC.pc,-,-,IN.inst[19:15],-,IN.inst[11:7],ALU.c,IN.inst[31:20],RF.rD1,SEXT.ext,-,-,-,-
demo,slli,NPC.npc,PC.pc,-,-,IN.inst[19:15],-,IN.inst[11:7],ALU.c,IN.inst[31:20],RF.rD1,SEXT.ext,-,-,-,-
demo,lui,NPC.npc,PC.pc,-,-,-,-,IN.inst[11:7],SEXT.ext,IN.inst[31:12],-,-,-,-,-,-
demo,lw,NPC.npc,PC.pc,-,-,IN.inst[19:15],-,IN.inst[11:7],MEXT.ext,IN.inst[31:20],RF.rD1,SEXT.ext,ALU.c,-,IN.daccess_rdata,ALU.c[1:0]
demo,beq,NPC.npc,PC.pc,SEXT.ext,ALU.br,IN.inst[19:15],IN.inst[24:20],-,-,IN.inst[31|7|30:25|11:8],RF.rD1,RF.rD2,-,-,-,-
demo,bne,NPC.npc,PC.pc,SEXT.ext,ALU.br,IN.inst[19:15],IN.inst[24:20],-,-,IN.inst[31|7|30:25|11:8],RF.rD1,RF.rD2,-,-,-,-
demo,jal,NPC.npc,PC.pc,SEXT.ext,-,-,-,IN.inst[11:7],NPC.pc4,IN.inst[31|19:12|20|30:21],-,-,-,-,-,-
group_a,sll,,,,,,,,,,,,,,,
group_a,srl,,,,,,,,,,,,,,,
group_a,srli,,,,,,,,,,,,,,,
group_a,sra,,,,,,,,,,,,,,,
group_a,srai,,,,,,,,,,,,,,,
group_a,add,,,,,,,,,,,,,,,
group_a,sub,,,,,,,,,,,,,,,
group_a,auipc,,,,,,,,,,,,,,,
group_a,xor,,,,,,,,,,,,,,,
group_a,xori,,,,,,,,,,,,,,,
group_a,lb,,,,,,,,,,,,,,,
group_a,lbu,,,,,,,,,,,,,,,
group_a,lh,,,,,,,,,,,,,,,
group_a,lhu,,,,,,,,,,,,,,,
group_a,sw,,,,,,,,,,,,,,,
group_a,sb,,,,,,,,,,,,,,,
group_a,sh,,,,,,,,,,,,,,,
group_a,jalr,,,,,,,,,,,,,,,
integrated,complete,NPC.npc,PC.pc,SEXT.ext,ALU.br,IN.inst[19:15],IN.inst[24:20],IN.inst[11:7],ALU.c|SEXT.ext|MEXT.ext|NPC.pc4,IN.inst[31:7],RF.rD1,RF.rD2|SEXT.ext,ALU.c,-,IN.daccess_rdata,ALU.c[1:0]
