group,instruction,PC.npc,NPC.pc,NPC.offset,NPC.br,RF.rR1,RF.rR2,RF.wR,RF.wD,SEXT.imm,ALU.A,ALU.B,MREQ.ram_addr,MREQ.ram_wdata,MEXT.din,MEXT.byte_offs
demo,addi,NPC.npc,PC.pc,-,-,IN.inst[19:15],-,IN.inst[11:7],ALU.c,IN.inst[31:20],RF.rD1,SEXT.ext,-,-,-,-
demo,ori,NPC.npc,PC.pc,-,-,IN.inst[19:15],-,IN.inst[11:7],ALU.c,IN.inst[31:20],RF.rD1,SEXT.ext,-,-,-,-
demo,slli,NPC.npc,PC.pc,-,-,IN.inst[19:15],-,IN.inst[11:7],ALU.c,IN.inst[31:20],RF.rD1,SEXT.ext,-,-,-,-
demo,lui,NPC.npc,PC.pc,-,-,-,-,IN.inst[11:7],SEXT.ext,IN.inst[31:12],-,-,-,-,-,-
demo,lw,NPC.npc,PC.pc,-,-,IN.inst[19:15],-,IN.inst[11:7],MEXT.ext,IN.inst[31:20],RF.rD1,SEXT.ext,ALU.c,-,IN.daccess_rdata,ALU.c[1:0]
demo,beq,NPC.npc,PC.pc,SEXT.ext,ALU.br,IN.inst[19:15],IN.inst[24:20],-,-,IN.inst[31|7|30:25|11:8],RF.rD1,RF.rD2,-,-,-,-
demo,bne,NPC.npc,PC.pc,SEXT.ext,ALU.br,IN.inst[19:15],IN.inst[24:20],-,-,IN.inst[31|7|30:25|11:8],RF.rD1,RF.rD2,-,-,-,-
demo,jal,NPC.npc,PC.pc,SEXT.ext,-,-,-,IN.inst[11:7],NPC.pc4,IN.inst[31|19:12|20|30:21],-,-,-,-,-,-
group_a,sll,NPC.npc,PC.pc,-,-,IN.inst[19:15],IN.inst[24:20],IN.inst[11:7],ALU.c,-,RF.rD1,RF.rD2,-,-,-,-
group_a,srl,NPC.npc,PC.pc,-,-,IN.inst[19:15],IN.inst[24:20],IN.inst[11:7],ALU.c,-,RF.rD1,RF.rD2,-,-,-,-
group_a,srli,NPC.npc,PC.pc,-,-,IN.inst[19:15],-,IN.inst[11:7],ALU.c,IN.inst[31:20],RF.rD1,SEXT.ext,-,-,-,-
group_a,sra,NPC.npc,PC.pc,-,-,IN.inst[19:15],IN.inst[24:20],IN.inst[11:7],ALU.c,-,RF.rD1,RF.rD2,-,-,-,-
group_a,srai,NPC.npc,PC.pc,-,-,IN.inst[19:15],-,IN.inst[11:7],ALU.c,IN.inst[31:20],RF.rD1,SEXT.ext,-,-,-,-
group_a,add,NPC.npc,PC.pc,-,-,IN.inst[19:15],IN.inst[24:20],IN.inst[11:7],ALU.c,-,RF.rD1,RF.rD2,-,-,-,-
group_a,sub,NPC.npc,PC.pc,-,-,IN.inst[19:15],IN.inst[24:20],IN.inst[11:7],ALU.c,-,RF.rD1,RF.rD2,-,-,-,-
group_a,auipc,NPC.npc,PC.pc,-,-,-,-,IN.inst[11:7],ALU.c,IN.inst[31:12],PC.pc,SEXT.ext,-,-,-,-
group_a,xor,NPC.npc,PC.pc,-,-,IN.inst[19:15],IN.inst[24:20],IN.inst[11:7],ALU.c,-,RF.rD1,RF.rD2,-,-,-,-
group_a,xori,NPC.npc,PC.pc,-,-,IN.inst[19:15],-,IN.inst[11:7],ALU.c,IN.inst[31:20],RF.rD1,SEXT.ext,-,-,-,-
group_a,lb,NPC.npc,PC.pc,-,-,IN.inst[19:15],-,IN.inst[11:7],MEXT.ext,IN.inst[31:20],RF.rD1,SEXT.ext,ALU.c,-,IN.daccess_rdata,ALU.c[1:0]
group_a,lbu,NPC.npc,PC.pc,-,-,IN.inst[19:15],-,IN.inst[11:7],MEXT.ext,IN.inst[31:20],RF.rD1,SEXT.ext,ALU.c,-,IN.daccess_rdata,ALU.c[1:0]
group_a,lh,NPC.npc,PC.pc,-,-,IN.inst[19:15],-,IN.inst[11:7],MEXT.ext,IN.inst[31:20],RF.rD1,SEXT.ext,ALU.c,-,IN.daccess_rdata,ALU.c[1:0]
group_a,lhu,NPC.npc,PC.pc,-,-,IN.inst[19:15],-,IN.inst[11:7],MEXT.ext,IN.inst[31:20],RF.rD1,SEXT.ext,ALU.c,-,IN.daccess_rdata,ALU.c[1:0]
group_a,sw,NPC.npc,PC.pc,-,-,IN.inst[19:15],IN.inst[24:20],-,-,IN.inst[31:25|11:7],RF.rD1,SEXT.ext,ALU.c,RF.rD2,-,-
group_a,sb,NPC.npc,PC.pc,-,-,IN.inst[19:15],IN.inst[24:20],-,-,IN.inst[31:25|11:7],RF.rD1,SEXT.ext,ALU.c,RF.rD2,-,-
